,GMIS.Region,Old.Region,GMIS.Division,Division,Position,Total.Filled,Total.Unfilled,Total.Authorized,Filling.Up.Rate
5067,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,Public Schools District Supervisor,10,0,10,100
5068,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,Registrar I,3,0,3,100
5069,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,School Principal I,7,0,7,100
5070,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,School Principal II,8,0,8,100
5071,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,School Principal III,5,0,5,100
5072,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,School Principal IV,7,0,7,100
5073,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,Schools Division Superintendent,1,0,1,100
5074,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,Senior Education Program Specialist,4,0,4,100
5075,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,Special Education Teacher I,7,1,8,87.5
5076,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,Special Education Teacher II,3,0,3,100
5077,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,Special Education Teacher III,2,0,2,100
5078,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,Special Science Teacher I,5,2,7,71.43
5079,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,Teacher I,1021,6,1027,99.42
5080,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,Teacher II,385,12,397,96.98
5081,Region IVA - CALABARZON,Region IV-A,Division of Sta. Rosa City,Sta. Rosa City,Teacher III,455,3,458,99.34
5082,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Accountant III,1,0,1,100
5083,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Administrative Aide I,4,0,4,100
5084,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Administrative Aide IV,1,0,1,100
5085,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Administrative Aide VI,1,0,1,100
5086,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Administrative Assistant I,8,0,8,100
5087,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Administrative Assistant II,13,0,13,100
5088,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Administrative Assistant III,18,1,19,94.74
5089,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Administrative Officer II,15,0,15,100
5090,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Administrative Officer IV,4,0,4,100
5091,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Administrative Officer V,2,0,2,100
5092,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Assistant Schools Division Superintendent,1,0,1,100
5093,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Attorney III,1,0,1,100
5094,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Chief Education Supervisor,2,0,2,100
5095,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Dentist II,2,0,2,100
5096,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Education Program Specialist II,5,0,5,100
5097,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Education Program Supervisor,11,0,11,100
5098,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Engineer III,1,0,1,100
5099,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Guidance Counselor I,1,0,1,100
5100,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Head Teacher I,14,1,15,93.33
5101,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Head Teacher II,9,2,11,81.82
5102,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Head Teacher III,8,0,8,100
5103,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Information Technology Officer I,1,0,1,100
5104,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Librarian II,1,0,1,100
5105,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Master Teacher I,57,1,58,98.28
5106,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Master Teacher II,32,0,32,100
5107,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Medical Officer III,1,0,1,100
5108,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Nurse II,5,0,5,100
5109,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Planning Officer III,1,0,1,100
5110,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Project Development Officer I,4,0,4,100
5111,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Project Development Officer II,2,0,2,100
5112,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Public Schools District Supervisor,10,0,10,100
5113,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Registrar I,1,0,1,100
5114,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,School Principal I,6,1,7,85.71
5115,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,School Principal II,4,1,5,80
5116,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,School Principal III,3,0,3,100
5117,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,School Principal IV,3,0,3,100
5118,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Senior Education Program Specialist,2,2,4,50
5119,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Special Education Teacher I,12,0,12,100
5120,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Special Education Teacher II,1,0,1,100
5121,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Special Science Teacher I,6,1,7,85.71
5122,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Teacher I,374,1,375,99.73
5123,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Teacher II,175,2,177,98.87
5124,Region IVA - CALABARZON,Region IV-A,Division of Sto. Tomas City,Sto. Tomas City,Teacher III,399,4,403,99.01
5125,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Accountant I,1,0,1,100
5126,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Accountant III,1,0,1,100
5127,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Administrative Aide I,8,0,8,100
5128,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Administrative Aide III,1,0,1,100
5129,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Administrative Aide IV,3,0,3,100
5130,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Administrative Aide VI,8,0,8,100
5131,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Administrative Assistant I,1,0,1,100
5132,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Administrative Assistant II,27,0,27,100
5133,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Administrative Assistant III,29,0,29,100
5134,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Administrative Officer I,2,0,2,100
5135,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Administrative Officer II,36,0,36,100
5136,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Administrative Officer IV,4,1,5,80
5137,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Administrative Officer V,2,0,2,100
5138,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Assistant Schools Division Superintendent,1,0,1,100
5139,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Attorney III,1,0,1,100
5140,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Chief Education Supervisor,2,0,2,100
5141,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Dentist II,2,0,2,100
5142,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Education Program Specialist II,5,0,5,100
5143,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Education Program Supervisor,11,0,11,100
5144,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Engineer III,1,0,1,100
5145,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Farm Worker I,2,0,2,100
5146,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Guidance Counselor I,1,1,2,50
5147,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Guidance Counselor II,2,1,3,66.67
5148,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Guidance Counselor III,1,0,1,100
5149,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Head Teacher I,15,3,18,83.33
5150,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Head Teacher II,2,0,2,100
5151,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Head Teacher III,16,1,17,94.12
5152,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Head Teacher VI,1,0,1,100
5153,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Information Technology Officer I,1,0,1,100
5154,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Librarian II,1,0,1,100
5155,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Master Teacher I,77,1,78,98.72
5156,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Master Teacher II,37,0,37,100
5157,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Medical Officer III,1,0,1,100
5158,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Nurse II,8,0,8,100
5159,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Planning Officer III,1,0,1,100
5160,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Project Development Officer I,6,0,6,100
5161,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Project Development Officer II,2,0,2,100
5162,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Public Schools District Supervisor,9,1,10,90
5163,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Registrar I,2,0,2,100
5164,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,School Librarian I,1,0,1,100
5165,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,School Principal I,22,1,23,95.65
5166,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,School Principal II,8,0,8,100
5167,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,School Principal III,6,0,6,100
5168,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,School Principal IV,1,0,1,100
5169,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Schools Division Superintendent,1,0,1,100
5170,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Security Guard I,3,0,3,100
5171,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Senior Education Program Specialist,4,0,4,100
5172,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Special Education Teacher I,9,0,9,100
5173,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Special Education Teacher II,3,0,3,100
5174,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Special Education Teacher III,3,0,3,100
5175,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Special Science Teacher I,3,0,3,100
5176,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Teacher I,272,0,272,100
5177,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Teacher II,256,0,256,100
5178,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Teacher III,772,4,776,99.48
5179,Region IVA - CALABARZON,Region IV-A,Division of Tanauan City,Tanauan City,Vocational School Administrator III,1,0,1,100
5180,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Accountant III,1,0,1,100
5181,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Administrative Aide I,9,0,9,100
5182,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Administrative Aide III,1,0,1,100
5183,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Administrative Aide IV,5,0,5,100
5184,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Administrative Aide VI,5,0,5,100
5185,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Administrative Assistant I,1,0,1,100
5186,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Administrative Assistant II,8,0,8,100
5187,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Administrative Assistant III,17,0,17,100
5188,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Administrative Officer I,2,0,2,100
5189,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Administrative Officer II,21,0,21,100
5190,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Administrative Officer IV,5,0,5,100
5191,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Administrative Officer V,2,0,2,100
5192,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Assistant School Principal I,1,0,1,100
5193,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Assistant School Principal II,2,0,2,100
5194,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Assistant Schools Division Superintendent,1,0,1,100
5195,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Chief Education Supervisor,2,0,2,100
5196,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Dentist II,1,0,1,100
5197,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Education Program Specialist II,3,0,3,100
5198,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Education Program Supervisor,11,0,11,100
5199,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Guidance Counselor I,1,0,1,100
5200,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Guidance Counselor III,2,0,2,100
5201,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Head Teacher I,1,0,1,100
5202,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Head Teacher III,9,0,9,100
5203,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Head Teacher IV,7,0,7,100
5204,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Information Technology Officer I,1,0,1,100
5205,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Librarian II,1,0,1,100
5206,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Master Teacher I,59,0,59,100
5207,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Master Teacher II,14,0,14,100
5208,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Nurse II,4,0,4,100
5209,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Planning Officer III,1,0,1,100
5210,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Project Development Officer I,5,0,5,100
5211,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Project Development Officer II,2,0,2,100
5212,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Registrar I,1,0,1,100
5213,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,School Librarian III,1,0,1,100
5214,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,School Principal I,8,0,8,100
5215,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,School Principal II,9,0,9,100
5216,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,School Principal III,1,0,1,100
5217,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,School Principal IV,2,0,2,100
5218,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Schools Division Superintendent,1,0,1,100
5219,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Security Guard I,3,0,3,100
5220,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Security Guard II,1,0,1,100
5221,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Senior Education Program Specialist,2,0,2,100
5222,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Special Education Teacher I,20,0,20,100
5223,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Special Education Teacher II,2,0,2,100
5224,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Special Science Teacher I,7,0,7,100
5225,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Teacher I,191,0,191,100
5226,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Teacher II,264,0,264,100
5227,Region IVA - CALABARZON,Region IV-A,Division of Tayabas City,Tayabas City,Teacher III,264,1,265,99.62
5228,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Accountant II,2,0,2,100
5229,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Accountant III,1,0,1,100
5230,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Aide I,1,0,1,100
5231,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Aide IV,3,0,3,100
5232,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Aide VI,6,2,8,75
5233,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Assistant I,8,2,10,80
5234,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Assistant III,4,0,4,100
5235,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Assistant V,1,0,1,100
5236,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Officer I,2,0,2,100
5237,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Officer II,5,0,5,100
5238,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Officer IV,4,0,4,100
5239,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Officer V,6,0,6,100
5240,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Attorney III,1,0,1,100
5241,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Attorney IV,1,0,1,100
5242,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Chief Administrative Officer,2,0,2,100
5243,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Chief Education Supervisor,6,0,6,100
5244,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Computer Maintenance Technologist I,1,0,1,100
5245,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Computer Programmer II,1,0,1,100
5246,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Dentist III,1,0,1,100
5247,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Director III,1,0,1,100
5248,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Director IV,1,0,1,100
5249,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Dormitory Manager II,1,0,1,100
5250,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Draftsman II,1,0,1,100
5251,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Education Program Specialist II,3,1,4,75
5252,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Education Program Supervisor,17,4,21,80.95
5253,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Engineer III,1,0,1,100
5254,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Information Technology Officer I,1,0,1,100
5255,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Legal Assistant II,1,0,1,100
5256,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Librarian II,1,0,1,100
5257,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Medical Officer IV,1,0,1,100
5258,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Nutritionist-Dietitian II,1,0,1,100
5259,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Project Development Officer II,2,1,3,66.67
5260,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Project Development Officer IV,1,0,1,100
5261,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Security Guard I,2,1,3,66.67
5262,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Senior Education Program Specialist,1,1,2,50
5263,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Special Investigator III,1,0,1,100
5264,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Statistician I,1,0,1,100
5265,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Supervising Administrative Officer ,2,0,2,100
5266,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Teacher Credentials Evaluator II,1,0,1,100
5267,Region IVB - MIMAROPA,MIMAROPA,Central Office/Staff Bureaus/ROs,Regional Office,Teaching-Aids Specialist,1,0,1,100
5268,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Accountant I,1,0,1,100
5269,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Accountant III,1,0,1,100
5270,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Administrative Aide I,10,1,11,90.91
5271,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Administrative Aide III,1,0,1,100
5272,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Administrative Aide IV,4,0,4,100
5273,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Administrative Aide VI,7,2,9,77.78
5274,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Administrative Assistant I,1,0,1,100
5275,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Administrative Assistant II,20,2,22,90.91
5276,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Administrative Assistant III,25,0,25,100
5277,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Administrative Officer I,2,0,2,100
5278,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Administrative Officer II,33,0,33,100
5279,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Administrative Officer IV,5,0,5,100
5280,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Administrative Officer V,2,0,2,100
5281,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Assistant School Principal II,3,0,3,100
5282,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Assistant Schools Division Superintendent,1,0,1,100
5283,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Attorney III,1,0,1,100
5284,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Chief Education Supervisor,2,0,2,100
5285,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Dentist II,2,0,2,100
5286,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Education Program Specialist II,5,0,5,100
5287,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Education Program Supervisor,10,1,11,90.91
5288,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Engineer III,1,0,1,100
5289,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Guidance Coordinator III,1,0,1,100
5290,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Guidance Counselor I,1,1,2,50
5291,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Guidance Counselor II,5,1,6,83.33
5292,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Guidance Counselor III,3,1,4,75
5293,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Head Teacher II,1,0,1,100
5294,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Head Teacher III,17,0,17,100
5295,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Head Teacher IV,4,0,4,100
5296,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Head Teacher VI,9,0,9,100
5297,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Information Technology Officer I,1,0,1,100
5298,Region IVB - MIMAROPA,MIMAROPA,Division of Calapan City,Calapan City,Librarian II,1,0,1,100
